mr,mrLabel,country,countryLabel,coord,highPoint,highPointLabel,elevation,length,partOf,partOfLabel
http://www.wikidata.org/entity/Q1046261,Ивановский хребет,http://www.wikidata.org/entity/Q232,Казахстан,Point(83.5 50.166666666),,,2775,100,,
http://www.wikidata.org/entity/Q1046261,Ивановский хребет,http://www.wikidata.org/entity/Q232,Казахстан,Point(83.75000001 50.28333334),,,2775,100,,
http://www.wikidata.org/entity/Q1046516,Восточно-Иранские горы,http://www.wikidata.org/entity/Q794,Иран,Point(60.0 32.0),,,,,,
http://www.wikidata.org/entity/Q1046516,Восточно-Иранские горы,http://www.wikidata.org/entity/Q794,Иран,Point(61.066666666 28.233333333),,,,,,
http://www.wikidata.org/entity/Q1046680,Чингизтау,http://www.wikidata.org/entity/Q232,Казахстан,Point(79.26932 48.58495),,,,,http://www.wikidata.org/entity/Q45869,Казахский мелкосопочник
http://www.wikidata.org/entity/Q1046680,Чингизтау,http://www.wikidata.org/entity/Q232,Казахстан,Point(79.663055555 48.250555555),,,,,http://www.wikidata.org/entity/Q45869,Казахский мелкосопочник
http://www.wikidata.org/entity/Q104723885,Hinotodake Mountains,http://www.wikidata.org/entity/Q17,Япония,,http://www.wikidata.org/entity/Q18338992,Hinoto Dake,,,,
http://www.wikidata.org/entity/Q1047274,Холзун,http://www.wikidata.org/entity/Q159,Россия,Point(84.32722223 50.15166668),,,2092,100,,
http://www.wikidata.org/entity/Q1047274,Холзун,http://www.wikidata.org/entity/Q232,Казахстан,Point(84.32722223 50.15166668),,,2092,100,,
http://www.wikidata.org/entity/Q1047274,Холзун,http://www.wikidata.org/entity/Q159,Россия,Point(84.32722223 50.15166668),,,2599,100,,
http://www.wikidata.org/entity/Q1047274,Холзун,http://www.wikidata.org/entity/Q232,Казахстан,Point(84.32722223 50.15166668),,,2599,100,,
http://www.wikidata.org/entity/Q104767374,Baviaanskloof Mountains,http://www.wikidata.org/entity/Q258,ЮАР,Point(24.260277777 -33.571111111),http://www.wikidata.org/entity/Q31691978,Scholtzberg,,,http://www.wikidata.org/entity/Q2334182,Капские горы
http://www.wikidata.org/entity/Q1048063,Сарыджаз,http://www.wikidata.org/entity/Q813,Кыргызстан,Point(79.885 42.264694444),http://www.wikidata.org/entity/Q25378975,Bayankol,,,,
http://www.wikidata.org/entity/Q104835785,Haldizen Mountains,http://www.wikidata.org/entity/Q43,Турция,Point(40.377 40.564),,,,,,
http://www.wikidata.org/entity/Q104861284,"Wellington Range, Northern Territory",http://www.wikidata.org/entity/Q408,Австралия,,,,,,,
http://www.wikidata.org/entity/Q104869660,Phu Wiang,http://www.wikidata.org/entity/Q869,Таиланд,Point(102.25 16.75),,,,,,
